expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,telemetry_name,telemetry_value,timestamp,vehicle_id,vehicle_number
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,speed,121.17,2025-04-25T00:31:49.494Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,accx_can,0.214,2025-04-25T00:31:49.494Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,accy_can,-0.025,2025-04-25T00:31:49.494Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,ath,100.01,2025-04-25T00:31:49.494Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.494Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.494Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.494Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,Steering_Angle,-1.1,2025-04-25T00:31:49.494Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,accx_can,0.244,2025-04-25T00:31:49.451Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,accy_can,-0.006,2025-04-25T00:31:49.451Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,ath,99.99,2025-04-25T00:31:49.451Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.451Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.451Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.451Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.152Z,GR86-002-2,0,Steering_Angle,-0.5,2025-04-25T00:31:49.451Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,accx_can,0.237,2025-04-25T00:31:49.407Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,accy_can,0.02,2025-04-25T00:31:49.407Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,ath,100.02,2025-04-25T00:31:49.407Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.407Z,GR86-002-2,2
